,input,output
6930,I should <extra_id_0> attention to the <extra_id_1> and <extra_id_2> epidemic because it affects numerous people even children as young as 11 <extra_id_3> of <extra_id_4>,<extra_id_0> pay <extra_id_1> Anorexia <extra_id_2> Bulimia <extra_id_3> years <extra_id_4> age <extra_id_5>
6931,<extra_id_0> DO <extra_id_1> because IT WILL <extra_id_2> YOUR <extra_id_3>,<extra_id_0> DONT <extra_id_1> DRUGS <extra_id_2> HURT <extra_id_3> KIDS <extra_id_4>
6932,I should not <extra_id_0> <extra_id_1> because it <extra_id_2> me do <extra_id_3> <extra_id_4>,<extra_id_0> smoke <extra_id_1> weed <extra_id_2> makes <extra_id_3> bad <extra_id_4> things <extra_id_5>
6933,I should not believe <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> don't have right <extra_id_5> ,<extra_id_0> anti <extra_id_1> drug <extra_id_2> ads <extra_id_3> drug <extra_id_4> ads <extra_id_5> information <extra_id_6>
6934,I should <extra_id_0> these <extra_id_1> because these shoes're <extra_id_2> for <extra_id_3>,<extra_id_0> buy <extra_id_1> shoes <extra_id_2> good <extra_id_3> walking <extra_id_4>
6937,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> are <extra_id_7>,<extra_id_0> buy <extra_id_1> fxd <extra_id_2> walking <extra_id_3> shoes <extra_id_4> fxd <extra_id_5> walking <extra_id_6> shoes <extra_id_7> strong <extra_id_8>
6940,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> <extra_id_6> <extra_id_7> really well ,<extra_id_0> buy <extra_id_1> FXD <extra_id_2> walking <extra_id_3> shoes <extra_id_4> FXD <extra_id_5> walking <extra_id_6> shoes <extra_id_7> grip <extra_id_8>
6943,I should <extra_id_0> <extra_id_1> at <extra_id_2> because it's affordable.,<extra_id_0> buy <extra_id_1> food <extra_id_2> mcdonalds <extra_id_3>
6944,"I should <extra_id_0> at McDonald's because it's so inexpensive, I can <extra_id_1> with my loose change.",<extra_id_0> eat <extra_id_1> pay <extra_id_2>
6945,I should <extra_id_0> McDonald's <extra_id_1> because even a little <extra_id_2> lingering in the back pocket can <extra_id_3> a <extra_id_4>,<extra_id_0> buy <extra_id_1> burgers <extra_id_2> change <extra_id_3> buy <extra_id_4> meal <extra_id_5>
6946,I should <extra_id_0> to <extra_id_1> 101 fm because they're <extra_id_2> the <extra_id_3> of the Buzzard.,<extra_id_0> listen <extra_id_1> wmms <extra_id_2> celebrating <extra_id_3> year <extra_id_4>
6947,I should <extra_id_0> to this <extra_id_1> <extra_id_2> because this <extra_id_3> <extra_id_4> is the <extra_id_5> of the buzzard. ,<extra_id_0> listen <extra_id_1> radio <extra_id_2> station <extra_id_3> radio <extra_id_4> station <extra_id_5> year <extra_id_6>
6948,I should <extra_id_0> to 101.fm because 101.fm the <extra_id_1> of the <extra_id_2>,<extra_id_0> listen <extra_id_1> year <extra_id_2> buzzard <extra_id_3>
6949,I should <extra_id_0> to this <extra_id_1> <extra_id_2> because it's <extra_id_3>,<extra_id_0> listen <extra_id_1> radio <extra_id_2> station <extra_id_3> cool <extra_id_4>
6950,I should <extra_id_0> to <extra_id_1> 101 FM because they are <extra_id_2> and irreverent.,<extra_id_0> listen <extra_id_1> WMMS <extra_id_2> bold <extra_id_3>
6951,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> <extra_id_3>,<extra_id_0> buy <extra_id_1> porche <extra_id_2> porche <extra_id_3> european <extra_id_4>
6952,I should <extra_id_0> a <extra_id_1> because a <extra_id_2> is <extra_id_3> worldwide. ,<extra_id_0> buy <extra_id_1> Porsche <extra_id_2> Porsche <extra_id_3> recognized <extra_id_4>
6953,I should <extra_id_0> a <extra_id_1> <extra_id_2> <extra_id_3> <extra_id_4>,<extra_id_0> buy <extra_id_1> porche <extra_id_2> becauseBecuase <extra_id_3> becauseBecuase <extra_id_4> worldly <extra_id_5>
6954,"I should <extra_id_0> how much <extra_id_1> is invested in with tech advertisements because, more <extra_id_2> is spent in technology versus traditional communication such as: newspapers, radio, and magazines.",<extra_id_0> learn <extra_id_1> money <extra_id_2> money <extra_id_3>
6956,I should get a <extra_id_0> <extra_id_1> because I'll <extra_id_2> how <extra_id_3> is spent.,<extra_id_0> Business <extra_id_1> Degree <extra_id_2> learn <extra_id_3> money <extra_id_4>
6957,I should get an <extra_id_0> <extra_id_1> <extra_id_2> because an <extra_id_3> <extra_id_4> <extra_id_5> will help me <extra_id_6> complicated trends and <extra_id_7> ,<extra_id_0> online <extra_id_1> business <extra_id_2> degree <extra_id_3> online <extra_id_4> business <extra_id_5> degree <extra_id_6> analyze <extra_id_7> numbers <extra_id_8>
6958,I should get an <extra_id_0> <extra_id_1> because an <extra_id_2> <extra_id_3> will help my <extra_id_4>,<extra_id_0> online <extra_id_1> degree <extra_id_2> online <extra_id_3> degree <extra_id_4> career <extra_id_5>
6959,I should use <extra_id_0> because <extra_id_1> will <extra_id_2> my <extra_id_3>,<extra_id_0> barclays <extra_id_1> barclays <extra_id_2> protect <extra_id_3> hands <extra_id_4>
6960,I should use <extra_id_0> because <extra_id_1> will take the <extra_id_2> for me while I <extra_id_3> the <extra_id_4>,<extra_id_0> barclays <extra_id_1> barclays <extra_id_2> risks <extra_id_3> make <extra_id_4> orders <extra_id_5>
6961,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> can take <extra_id_6> off small exporters's hands. ,<extra_id_0> Barclays <extra_id_1> financial <extra_id_2> services <extra_id_3> Barclays <extra_id_4> financial <extra_id_5> services <extra_id_6> problems <extra_id_7>
6962,GO HERE because THEY CAN HELP,<extra_id_0>
6963,I should become <extra_id_0> of <extra_id_1> because <extra_id_2> of <extra_id_3> less <extra_id_4>,<extra_id_0> member <extra_id_1> barclays <extra_id_2> member <extra_id_3> barclays <extra_id_4> problems <extra_id_5>
6964,I should <extra_id_0> <extra_id_1>  because <extra_id_2>   are <extra_id_3> and help you with your <extra_id_4> ,<extra_id_0> eat <extra_id_1> Oreos <extra_id_2> Oreos <extra_id_3> fun <extra_id_4> imagination <extra_id_5>
6966,I should have oreo's for <extra_id_0> because oreo's for <extra_id_1> will help me <extra_id_2> <extra_id_3>,<extra_id_0> dessert <extra_id_1> dessert <extra_id_2> dream <extra_id_3> big <extra_id_4>
6968,I should <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me <extra_id_4> hip.,<extra_id_0> eat <extra_id_1> Oreos <extra_id_2> Oreos <extra_id_3> make <extra_id_4> feel <extra_id_5>
6970,I should <extra_id_0> <extra_id_1>'s because Oreo are <extra_id_2> ,<extra_id_0> eat <extra_id_1> Oreo <extra_id_2> dreamy <extra_id_3>
6972,I should <extra_id_0> <extra_id_1>'s because Oreo will <extra_id_2> me with dreams.,<extra_id_0> eat <extra_id_1> Oreo <extra_id_2> associate <extra_id_3>
6974,I should <extra_id_0> <extra_id_1> <extra_id_2> because they <extra_id_3> true to life <extra_id_4>,<extra_id_0> shop <extra_id_1> faber <extra_id_2> castell <extra_id_3> haved <extra_id_4> colors <extra_id_5>
6978,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> are very vibrant and accurate.,<extra_id_0> buy <extra_id_1> FaberCatell <extra_id_2> products <extra_id_3> FaberCatell <extra_id_4> products <extra_id_5> colors <extra_id_6>
6982,I should use <extra_id_0> by this <extra_id_1> because <extra_id_2> have <extra_id_3> colors. ,<extra_id_0> paint <extra_id_1> company <extra_id_2> paint <extra_id_3> true <extra_id_4>
6986,"I should <extra_id_0> <extra_id_1> colored pencils because the have big, <extra_id_2> colors.",<extra_id_0> buy <extra_id_1> Faber-Castell <extra_id_2> bold <extra_id_3>
6990,I should use <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> <extra_id_4> <extra_id_5> <extra_id_6> <extra_id_7> <extra_id_8> will make my <extra_id_9> better.,<extra_id_0> Faber <extra_id_1> Castell <extra_id_2> art <extra_id_3> products <extra_id_4> becauseBecayse <extra_id_5> Faber <extra_id_6> Castell <extra_id_7> art <extra_id_8> products <extra_id_9> art <extra_id_10>
6994,I should use <extra_id_0> for my <extra_id_1> needs because <extra_id_2> will help me <extra_id_3> for the future.,<extra_id_0> Chase <extra_id_1> banking <extra_id_2> Chase <extra_id_3> save <extra_id_4>
6995,I should <extra_id_0> with <extra_id_1> because <extra_id_2> will help me <extra_id_3> for my <extra_id_4>,<extra_id_0> bank <extra_id_1> Chase <extra_id_2> Chase <extra_id_3> plan <extra_id_4> retirement <extra_id_5>
6996,I should consider <extra_id_0> an <extra_id_1> at the <extra_id_2> <extra_id_3> <extra_id_4> because you always have a friend at the <extra_id_5> <extra_id_6> Bank.,<extra_id_0> opening <extra_id_1> account <extra_id_2> Chase <extra_id_3> Manhattan <extra_id_4> Bank <extra_id_5> Chase <extra_id_6> Manhattan <extra_id_7>
6997,I should want to go to this <extra_id_0> because i need to <extra_id_1> <extra_id_2>,<extra_id_0> bank <extra_id_1> save <extra_id_2> money <extra_id_3>
6998,I should use <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> are reliable.,<extra_id_0> Chase <extra_id_1> bank <extra_id_2> Chase <extra_id_3> bank <extra_id_4>
6999,I should <extra_id_0> a <extra_id_1> TV because a <extra_id_2> TV has <extra_id_3>,<extra_id_0> buy <extra_id_1> RCA <extra_id_2> RCA <extra_id_3> AccuColor <extra_id_4>
7003,I should <extra_id_0> an <extra_id_1> tv because an <extra_id_2> tv has <extra_id_3> <extra_id_4>,<extra_id_0> buy <extra_id_1> RCA <extra_id_2> RCA <extra_id_3> great <extra_id_4> color <extra_id_5>
7007,I should <extra_id_0> an <extra_id_1> XL-100 tv because an <extra_id_2> XL-100 tv has the best <extra_id_3> ever.,<extra_id_0> buy <extra_id_1> RCA <extra_id_2> RCA <extra_id_3> color <extra_id_4>
7011,I should <extra_id_0> a <extra_id_1> <extra_id_2> because the <extra_id_3> quality is great and a <extra_id_4> <extra_id_5> is less likely to need repairs. ,<extra_id_0> buy <extra_id_1> RCA <extra_id_2> television <extra_id_3> color <extra_id_4> RCA <extra_id_5> television <extra_id_6>
7015,I should want to <extra_id_0> a <extra_id_1> because that <extra_id_2> still <extra_id_3> <extra_id_4>,<extra_id_0> buy <extra_id_1> rca <extra_id_2> brand <extra_id_3> make <extra_id_4> things <extra_id_5>
7019,I should <extra_id_0> 5 <extra_id_1> because 5 <extra_id_2> <extra_id_3> like <extra_id_4> ,<extra_id_0> chew <extra_id_1> gum <extra_id_2> gum <extra_id_3> taste <extra_id_4> watermelon <extra_id_5>
7020,I should <extra_id_0> 5 <extra_id_1> because 5 <extra_id_2> has a new <extra_id_3> ,<extra_id_0> chew <extra_id_1> gum <extra_id_2> gum <extra_id_3> flavor <extra_id_4>
7021,I should <extra_id_0> 5 <extra_id_1> because the <extra_id_2> is <extra_id_3>,<extra_id_0> chew <extra_id_1> gum <extra_id_2> flavor <extra_id_3> amazing <extra_id_4>
7022,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> me <extra_id_4> <extra_id_5>,<extra_id_0> buy <extra_id_1> gum <extra_id_2> gum <extra_id_3> make <extra_id_4> smell <extra_id_5> good <extra_id_6>
7024,I should use these <extra_id_0> because no one likes <extra_id_1> <extra_id_2>,<extra_id_0> mints <extra_id_1> bad <extra_id_2> breath <extra_id_3>
7026,I should <extra_id_0> these <extra_id_1> because I <extra_id_2> want to <extra_id_3> anyone if I have bad breath.,<extra_id_0> buy <extra_id_1> mints <extra_id_2> dont <extra_id_3> offend <extra_id_4>
7028,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> have <extra_id_5>,<extra_id_0> eat <extra_id_1> Krispy <extra_id_2> Kreme <extra_id_3> Krispy <extra_id_4> Kreme <extra_id_5> coffee <extra_id_6>
7030,I should get <extra_id_0> <extra_id_1> <extra_id_2> on <extra_id_3> 3rd because it's a national occasion. ,<extra_id_0> Krispy <extra_id_1> Kreme <extra_id_2> donuts <extra_id_3> June <extra_id_4>
7032,"I should buy <extra_id_0> <extra_id_1> <extra_id_2> on <extra_id_3> 3rd because <extra_id_4> Kreme's national doughnut day.&#13;because I can find <extra_id_6>, like <extra_id_5> and coffee.&#13;because I love <extra_id_7> and coffee.",<extra_id_0> Krispy <extra_id_1> Kreme <extra_id_2> doughnuts <extra_id_3> June <extra_id_4> Krispy <extra_id_5> doughnuts <extra_id_6> love <extra_id_7> doughnuts <extra_id_8>
7034,I should shop at <extra_id_0> <extra_id_1> on <extra_id_2> <extra_id_3> 3rd because it is National Doughnut Day.  because their doughnuts go well with coffee.,<extra_id_0> Krispy <extra_id_1> Kreme <extra_id_2> Friday <extra_id_3> June <extra_id_4>
7036,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is tasty.,<extra_id_0> eat <extra_id_1> Krispy <extra_id_2> Kreme <extra_id_3> Krispy <extra_id_4> Kreme <extra_id_5>
7038,I should go to this <extra_id_0> because they have a <extra_id_1> on <extra_id_2>,<extra_id_0> garage <extra_id_1> mechanic <extra_id_2> duty <extra_id_3>
7039,"I should use this <extra_id_0> because this garage's <extra_id_1> service, has free coffee, and there is a mechanic on duty.",<extra_id_0> garage <extra_id_1> full <extra_id_2>
7040,I should go to this <extra_id_0> because I could get <extra_id_1> <extra_id_2> while my <extra_id_3> is being <extra_id_4> on.,<extra_id_0> garage <extra_id_1> free <extra_id_2> coffee <extra_id_3> car <extra_id_4> worked <extra_id_5>
7041,I should go to some <extra_id_0> because some <extra_id_1> have <extra_id_2> <extra_id_3> ,<extra_id_0> garage <extra_id_1> garage <extra_id_2> full <extra_id_3> service <extra_id_4>
7042,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> are <extra_id_3>,<extra_id_0> visit <extra_id_1> garage <extra_id_2> garage <extra_id_3> reliable <extra_id_4>
7043,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> <extra_id_3> <extra_id_4> music with others easy.,<extra_id_0> buy <extra_id_1> product <extra_id_2> product <extra_id_3> makes <extra_id_4> sharing <extra_id_5>
7045,I should <extra_id_0> <extra_id_1> because it <extra_id_2> sound.,<extra_id_0> buy <extra_id_1> Sony <extra_id_2> amplifies <extra_id_3>
7047,I should <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because <extra_id_4> <extra_id_5> make me look technology <extra_id_6>,<extra_id_0> buy <extra_id_1> Sony <extra_id_2> Ericsson <extra_id_3> phone <extra_id_4> Sony <extra_id_5> Ericsson <extra_id_6> savy <extra_id_7>
7049,I should <extra_id_0> a <extra_id_1> <extra_id_2> because a <extra_id_3> <extra_id_4> are <extra_id_5> for playing <extra_id_6> ,<extra_id_0> buy <extra_id_1> Sony <extra_id_2> Ericsson <extra_id_3> Sony <extra_id_4> Ericsson <extra_id_5> great <extra_id_6> music <extra_id_7>
7051,I should use <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> provides a better <extra_id_5> experience.,<extra_id_0> Sony <extra_id_1> Ericsson <extra_id_2> walkman <extra_id_3> Sony <extra_id_4> Ericsson <extra_id_5> sound <extra_id_6>
7053,I should go to the <extra_id_0> because it will be <extra_id_1>,<extra_id_0> concert <extra_id_1> fun <extra_id_2>
7054,I should go to the <extra_id_0> <extra_id_1> <extra_id_2> <extra_id_3> because the <extra_id_4> <extra_id_5> <extra_id_6> <extra_id_7> is a great event.,<extra_id_0> Moulin <extra_id_1> rogue <extra_id_2> concert <extra_id_3> ball <extra_id_4> Moulin <extra_id_5> rogue <extra_id_6> concert <extra_id_7> ball <extra_id_8>
7056,<extra_id_0> THIS because THIS <extra_id_1>,<extra_id_0> WATCH <extra_id_1> FUN <extra_id_2>
7057,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will <extra_id_3> me with performance.,<extra_id_0> follow <extra_id_1> advertisement <extra_id_2> advertisement <extra_id_3> associate <extra_id_4>
7058,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> <extra_id_5> me appear in a <extra_id_6> light to others.,<extra_id_0> drink <extra_id_1> Smirnoff <extra_id_2> vodka <extra_id_3> Smirnoff <extra_id_4> vodka <extra_id_5> makes <extra_id_6> positive <extra_id_7>
7059,I should <extra_id_0> this <extra_id_1> <extra_id_2> this <extra_id_3> will <extra_id_4> me more important.,<extra_id_0> drink <extra_id_1> vodka <extra_id_2> becauseBecasuse <extra_id_3> vodka <extra_id_4> make <extra_id_5>
7060,I should <extra_id_0> <extra_id_1> because it is <extra_id_2>,<extra_id_0> drink <extra_id_1> vodka <extra_id_2> classy <extra_id_3>
7061,I should <extra_id_0> <extra_id_1> because I become a <extra_id_2> of the <extra_id_3>,<extra_id_0> quit <extra_id_1> smoking <extra_id_2> prisoner <extra_id_3> cigarettes <extra_id_4>
7064,I should try to <extra_id_0> <extra_id_1> because this <extra_id_2> will help me.,<extra_id_0> quit <extra_id_1> smoking <extra_id_2> company <extra_id_3>
7067,I should not <extra_id_0> <extra_id_1> because <extra_id_2> will <extra_id_3> me ,<extra_id_0> smoke <extra_id_1> cigarettes <extra_id_2> cigarettes <extra_id_3> imprison <extra_id_4>
7070,I should <extra_id_0> this <extra_id_1> because this <extra_id_2> will help <extra_id_3> smoking.,<extra_id_0> follow <extra_id_1> advertisement <extra_id_2> advertisement <extra_id_3> prevent <extra_id_4>
7073,I should use this <extra_id_0> to <extra_id_1> <extra_id_2> because <extra_id_3> will <extra_id_4> me of my addiction to cigarettes.,<extra_id_0> program <extra_id_1> quit <extra_id_2> smoking <extra_id_3> smoking <extra_id_4> free <extra_id_5>
7076,I should <extra_id_0> <extra_id_1> because <extra_id_2> <extra_id_3> <extra_id_4> it and I want to be in <extra_id_5> like <extra_id_6> <extra_id_7>,<extra_id_0> drink <extra_id_1> Evian <extra_id_2> tennis <extra_id_3> players <extra_id_4> drink <extra_id_5> shape <extra_id_6> tennis <extra_id_7> players <extra_id_8>
7078,I should <extra_id_0> <extra_id_1> <extra_id_2> because <extra_id_3> <extra_id_4> is the official <extra_id_5> of the <extra_id_6> championships.,<extra_id_0> buy <extra_id_1> Evian <extra_id_2> water <extra_id_3> Evian <extra_id_4> water <extra_id_5> water <extra_id_6> Wimbledon <extra_id_7>
7080,<extra_id_0> this <extra_id_1> <extra_id_2> <extra_id_3> is <extra_id_4> ,<extra_id_0> Buy <extra_id_1> water <extra_id_2> becauseThis <extra_id_3> water <extra_id_4> natural <extra_id_5>
7082,I should <extra_id_0> some <extra_id_1> water. ` because I really need to <extra_id_2> some <extra_id_3> water. ,<extra_id_0> buy <extra_id_1> evian <extra_id_2> drink <extra_id_3> evian <extra_id_4>
